League,Team,Player
Premier League 2016/17,West Bromwich Albion FC,Callum McManaman
Premier League 2016/17,West Bromwich Albion FC,Jonathan Leko
Premier League 2016/17,West Bromwich Albion FC,José Salomón Rondón
Premier League 2016/17,West Bromwich Albion FC,Saido Berahino
Premier League 2016/17,West Bromwich Albion FC,Allan Nyom
Premier League 2016/17,West Bromwich Albion FC,Nacer Chadli
Premier League 2016/17,West Bromwich Albion FC,Brendan Galloway
Premier League 2016/17,West Bromwich Albion FC,Hal Robson-Kanu
Premier League 2016/17,Burnley FC,Matthew Lowton
Premier League 2016/17,Burnley FC,George Boyd
Premier League 2016/17,Burnley FC,Steven Defour
Premier League 2016/17,Burnley FC,Patrick Bamford
Premier League 2016/17,Burnley FC,Tom Heaton
Premier League 2016/17,Burnley FC,Nick Pope
Premier League 2016/17,Burnley FC,Paul Robinson
Premier League 2016/17,Burnley FC,Michael Keane
Premier League 2016/17,Burnley FC,James Tarkowski
Premier League 2016/17,Burnley FC,Kevin Long
Premier League 2016/17,Burnley FC,Ben Mee
Premier League 2016/17,Burnley FC,Stephen Ward
Premier League 2016/17,Burnley FC,Jon Flanagan
Premier League 2016/17,Burnley FC,Tendayi Darikwa
Premier League 2016/17,Burnley FC,Dean Marney
Premier League 2016/17,Burnley FC,Scott Arfield
Premier League 2016/17,Burnley FC,Michael Kightly
Premier League 2016/17,Burnley FC,Johann Berg Gudmundsson
Premier League 2016/17,Burnley FC,Andre Gray
Premier League 2016/17,Burnley FC,Sam Vokes
Premier League 2016/17,Burnley FC,Ashley Barnes
Premier League 2016/17,Burnley FC,Jeff Hendrick
Premier League 2016/17,Swansea City FC,Fernando Llorente
Premier League 2016/17,Swansea City FC,Gerhard Tremmel
Premier League 2016/17,Swansea City FC,Nathan Dyer
Premier League 2016/17,Swansea City FC,Mike van der Hoorn
Premier League 2016/17,Swansea City FC,Borja Bastón
Premier League 2016/17,Swansea City FC,Lukasz Fabianski
Premier League 2016/17,Swansea City FC,Kristoffer Nordfeldt
Premier League 2016/17,Swansea City FC,Mark Birighitti
Premier League 2016/17,Swansea City FC,Federico Fernández
Premier League 2016/17,Swansea City FC,Jordi Amat
Premier League 2016/17,Swansea City FC,Neil Taylor
Premier League 2016/17,Swansea City FC,Stephen Kingsley
Premier League 2016/17,Swansea City FC,Kyle Naughton
Premier League 2016/17,Swansea City FC,Ángel Rangel
Premier League 2016/17,Swansea City FC,Sung-Yong Ki
Premier League 2016/17,Swansea City FC,Jack Cork
Premier League 2016/17,Swansea City FC,Leroy Fer
Premier League 2016/17,Swansea City FC,Leon Britton
Premier League 2016/17,Swansea City FC,Jay Fulton
Premier League 2016/17,Swansea City FC,Gylfi Sigurdsson
Premier League 2016/17,Swansea City FC,Jefferson Montero
Premier League 2016/17,Swansea City FC,Wayne Routledge
Premier League 2016/17,Swansea City FC,Modou Barrow
Premier League 2016/17,Swansea City FC,Oliver Davies
Premier League 2016/17,Swansea City FC,Alfie Mawson
Premier League 2016/17,Manchester City FC,John Stones
Premier League 2016/17,Manchester City FC,Fernando
Premier League 2016/17,Manchester City FC,Nolito
Premier League 2016/17,Manchester City FC,Claudio Bravo
Premier League 2016/17,Manchester City FC,Ilkay Gündogan
Premier League 2016/17,Manchester City FC,Willy Caballero
Premier League 2016/17,Manchester City FC,Nicolás Otamendi
Premier League 2016/17,Manchester City FC,Vincent Kompany
Premier League 2016/17,Manchester City FC,Aleksandar Kolarov
Premier League 2016/17,Manchester City FC,Gaël Clichy
Premier League 2016/17,Manchester City FC,Pablo Zabaleta
Premier League 2016/17,Manchester City FC,Bacary Sagna
Premier League 2016/17,Manchester City FC,Fernandinho
Premier League 2016/17,Manchester City FC,Yaya Touré
Premier League 2016/17,Manchester City FC,Fabian Delph
Premier League 2016/17,Manchester City FC,Kevin De Bruyne
Premier League 2016/17,Manchester City FC,David Silva
Premier League 2016/17,Manchester City FC,Jesús Navas
Premier League 2016/17,Manchester City FC,Raheem Sterling
Premier League 2016/17,Manchester City FC,Sergio Agüero
Premier League 2016/17,Manchester City FC,Kelechi Iheanacho
Premier League 2016/17,Sunderland AFC,Javier Manquillo
Premier League 2016/17,Sunderland AFC,Papy Djilobodji
Premier League 2016/17,Sunderland AFC,Jason Denayer
Premier League 2016/17,Sunderland AFC,Vito Mannone
Premier League 2016/17,Sunderland AFC,Jordan Pickford
Premier League 2016/17,Sunderland AFC,Lamine Koné
Premier League 2016/17,Sunderland AFC,Patrick McNair
Premier League 2016/17,Sunderland AFC,John O'Shea
Premier League 2016/17,Sunderland AFC,Patrick van Aanholt
Premier League 2016/17,Sunderland AFC,Billy Jones
Premier League 2016/17,Sunderland AFC,Donald Love
Premier League 2016/17,Sunderland AFC,Jack Rodwell
Premier League 2016/17,Sunderland AFC,Lee Cattermole
Premier League 2016/17,Sunderland AFC,Sebastian Larsson
Premier League 2016/17,Sunderland AFC,Wahbi Khazri
Premier League 2016/17,Sunderland AFC,Adnan Januzaj
Premier League 2016/17,Sunderland AFC,Fabio Borini
Premier League 2016/17,Sunderland AFC,Duncan Watmore
Premier League 2016/17,Sunderland AFC,Jermain Defoe
Premier League 2016/17,Sunderland AFC,Steven Pienaar
Premier League 2016/17,Sunderland AFC,Didier Ndong
Premier League 2016/17,Sunderland AFC,Lynden Gooch
Premier League 2016/17,Sunderland AFC,Victor Anichebe
Premier League 2016/17,Sunderland AFC,Joel Asoro
Premier League 2016/17,AFC Bournemouth,Nathan Aké
Premier League 2016/17,AFC Bournemouth,Jordon Ibe
Premier League 2016/17,AFC Bournemouth,Lys Mousset
Premier League 2016/17,AFC Bournemouth,Ryan Allsop
Premier League 2016/17,AFC Bournemouth,Artur Boruc
Premier League 2016/17,AFC Bournemouth,Adam Federici
Premier League 2016/17,AFC Bournemouth,Steve Cook
Premier League 2016/17,AFC Bournemouth,Tyrone Mings
Premier League 2016/17,AFC Bournemouth,Charlie Daniels
Premier League 2016/17,AFC Bournemouth,Brad Smith
Premier League 2016/17,AFC Bournemouth,Simon Francis
Premier League 2016/17,AFC Bournemouth,Adam Smith
Premier League 2016/17,AFC Bournemouth,Lewis Cook
Premier League 2016/17,AFC Bournemouth,Dan Gosling
Premier League 2016/17,AFC Bournemouth,Andrew Surman
Premier League 2016/17,AFC Bournemouth,Harry Arter
Premier League 2016/17,AFC Bournemouth,Emerson Hyndman
Premier League 2016/17,AFC Bournemouth,Max Gradel
Premier League 2016/17,AFC Bournemouth,Junior Stanislas
Premier League 2016/17,AFC Bournemouth,Marc Pugh
Premier League 2016/17,AFC Bournemouth,Ryan Fraser
Premier League 2016/17,AFC Bournemouth,Joshua King
Premier League 2016/17,AFC Bournemouth,Benik Afobe
Premier League 2016/17,AFC Bournemouth,Callum Wilson
Premier League 2016/17,AFC Bournemouth,Lewis Grabban
Premier League 2016/17,AFC Bournemouth,Marc Wilson
Premier League 2016/17,AFC Bournemouth,Jack Wilshere
Premier League 2016/17,Manchester United FC,Paul Pogba
Premier League 2016/17,Manchester United FC,Zlatan Ibrahimovic
Premier League 2016/17,Manchester United FC,Eric Bailly
Premier League 2016/17,Manchester United FC,Henrikh Mkhitaryan
Premier League 2016/17,Manchester United FC,David de Gea
Premier League 2016/17,Manchester United FC,Sergio Romero
Premier League 2016/17,Manchester United FC,Sam Johnstone
Premier League 2016/17,Manchester United FC,Daley Blind
Premier League 2016/17,Manchester United FC,Chris Smalling
Premier League 2016/17,Manchester United FC,Marcos Rojo
Premier League 2016/17,Manchester United FC,Phil Jones
Premier League 2016/17,Manchester United FC,Luke Shaw
Premier League 2016/17,Manchester United FC,Matteo Darmian
Premier League 2016/17,Manchester United FC,Antonio Valencia
Premier League 2016/17,Manchester United FC,Morgan Schneiderlin
Premier League 2016/17,Manchester United FC,Michael Carrick
Premier League 2016/17,Manchester United FC,Timothy Fosu-Mensah
Premier League 2016/17,Manchester United FC,Ander Herrera
Premier League 2016/17,Manchester United FC,Marouane Fellaini
Premier League 2016/17,Manchester United FC,Bastian Schweinsteiger
Premier League 2016/17,Manchester United FC,Juan Mata
Premier League 2016/17,Manchester United FC,Memphis Depay
Premier League 2016/17,Manchester United FC,Ashley Young
Premier League 2016/17,Manchester United FC,Jesse Lingard
Premier League 2016/17,Manchester United FC,Wayne Rooney
Premier League 2016/17,Manchester United FC,Anthony Martial
Premier League 2016/17,Manchester United FC,Marcus Rashford
Premier League 2016/17,Arsenal FC,Mathieu Debuchy
Premier League 2016/17,Arsenal FC,Yaya Sanogo
Premier League 2016/17,Arsenal FC,Shkodran Mustafi
Premier League 2016/17,Arsenal FC,Granit Xhaka
Premier League 2016/17,Arsenal FC,Petr Cech
Premier League 2016/17,Arsenal FC,David Ospina
Premier League 2016/17,Arsenal FC,Emiliano Martínez
Premier League 2016/17,Arsenal FC,Matt Macey
Premier League 2016/17,Arsenal FC,Laurent Koscielny
Premier League 2016/17,Arsenal FC,Gabriel Paulista
Premier League 2016/17,Arsenal FC,Per Mertesacker
Premier League 2016/17,Arsenal FC,Rob Holding
Premier League 2016/17,Arsenal FC,Nacho Monreal
Premier League 2016/17,Arsenal FC,Kieran Gibbs
Premier League 2016/17,Arsenal FC,Héctor Bellerín
Premier League 2016/17,Arsenal FC,Carl Jenkinson
Premier League 2016/17,Arsenal FC,Francis Coquelin
Premier League 2016/17,Arsenal FC,Mohamed Elneny
Premier League 2016/17,Arsenal FC,Aaron Ramsey
Premier League 2016/17,Arsenal FC,Santi Cazorla
Premier League 2016/17,Arsenal FC,Mesut Özil
Premier League 2016/17,Arsenal FC,Alex Iwobi
Premier League 2016/17,Arsenal FC,Alex Oxlade-Chamberlain
Premier League 2016/17,Arsenal FC,Alexis Sánchez
Premier League 2016/17,Arsenal FC,Theo Walcott
Premier League 2016/17,Arsenal FC,Olivier Giroud
Premier League 2016/17,Arsenal FC,Danny Welbeck
Premier League 2016/17,Arsenal FC,Chuba Akpom
Premier League 2016/17,Arsenal FC,Lucas Pérez
Premier League 2016/17,Liverpool FC,Sadio Mané
Premier League 2016/17,Liverpool FC,Alexander Manninger
Premier League 2016/17,Liverpool FC,Ragnar Klavan
Premier League 2016/17,Liverpool FC,Loris Karius
Premier League 2016/17,Liverpool FC,Georginio Wijnaldum
Premier League 2016/17,Liverpool FC,Simon Mignolet
Premier League 2016/17,Liverpool FC,Mamadou Sakho
Premier League 2016/17,Liverpool FC,Dejan Lovren
Premier League 2016/17,Liverpool FC,Joe Gomez
Premier League 2016/17,Liverpool FC,Tiago Ilori
Premier League 2016/17,Liverpool FC,Alberto Moreno
Premier League 2016/17,Liverpool FC,Nathaniel Clyne
Premier League 2016/17,Liverpool FC,Connor Randall
Premier League 2016/17,Liverpool FC,Emre Can
Premier League 2016/17,Liverpool FC,Lucas Leiva
Premier League 2016/17,Liverpool FC,Kevin Stewart
Premier League 2016/17,Liverpool FC,Jordan Henderson
Premier League 2016/17,Liverpool FC,James Milner
Premier League 2016/17,Liverpool FC,Marko Grujic
Premier League 2016/17,Liverpool FC,Adam Lallana
Premier League 2016/17,Liverpool FC,Sheyi Ojo
Premier League 2016/17,Liverpool FC,Roberto Firmino
Premier League 2016/17,Liverpool FC,Daniel Sturridge
Premier League 2016/17,Liverpool FC,Danny Ings
Premier League 2016/17,Liverpool FC,Divock Origi
Premier League 2016/17,Liverpool FC,Philippe Coutinho
Premier League 2016/17,Chelsea FC,Marcos Alonso
Premier League 2016/17,Chelsea FC,Marco van Ginkel
Premier League 2016/17,Chelsea FC,Victor Moses
Premier League 2016/17,Chelsea FC,David Luiz
Premier League 2016/17,Chelsea FC,N'Golo Kanté
Premier League 2016/17,Chelsea FC,Michy Batshuayi
Premier League 2016/17,Chelsea FC,Nathaniel Chalobah
Premier League 2016/17,Chelsea FC,Eduardo
Premier League 2016/17,Chelsea FC,Thibaut Courtois
Premier League 2016/17,Chelsea FC,Asmir Begovic
Premier League 2016/17,Chelsea FC,Kurt Zouma
Premier League 2016/17,Chelsea FC,Gary Cahill
Premier League 2016/17,Chelsea FC,John Terry
Premier League 2016/17,Chelsea FC,César Azpilicueta
Premier League 2016/17,Chelsea FC,Branislav Ivanovic
Premier League 2016/17,Chelsea FC,Ola Aina
Premier League 2016/17,Chelsea FC,Nemanja Matic
Premier League 2016/17,Chelsea FC,Mikel John Obi
Premier League 2016/17,Chelsea FC,Cesc Fàbregas
Premier League 2016/17,Chelsea FC,Ruben Loftus-Cheek
Premier League 2016/17,Chelsea FC,Oscar
Premier League 2016/17,Chelsea FC,Eden Hazard
Premier League 2016/17,Chelsea FC,Willian
Premier League 2016/17,Chelsea FC,Pedro
Premier League 2016/17,Chelsea FC,Diego Costa
Premier League 2016/17,West Ham United FC,Simone Zaza
Premier League 2016/17,West Ham United FC,Arthur Masuaku
Premier League 2016/17,West Ham United FC,Sofiane Feghouli
Premier League 2016/17,West Ham United FC,Álvaro Arbeloa
Premier League 2016/17,West Ham United FC,Havard Nordtveit
Premier League 2016/17,West Ham United FC,Adrián
Premier League 2016/17,West Ham United FC,Darren Randolph
Premier League 2016/17,West Ham United FC,Raphael Spiegel
Premier League 2016/17,West Ham United FC,Winston Reid
Premier League 2016/17,West Ham United FC,Angelo Ogbonna
Premier League 2016/17,West Ham United FC,Reece Oxford
Premier League 2016/17,West Ham United FC,James Collins
Premier League 2016/17,West Ham United FC,Aaron Cresswell
Premier League 2016/17,West Ham United FC,Sam Byram
Premier League 2016/17,West Ham United FC,Cheikhou Kouyaté
Premier League 2016/17,West Ham United FC,Pedro Obiang
Premier League 2016/17,West Ham United FC,Mark Noble
Premier League 2016/17,West Ham United FC,Manuel Lanzini
Premier League 2016/17,West Ham United FC,Dimitri Payet
Premier League 2016/17,West Ham United FC,André Ayew
Premier League 2016/17,West Ham United FC,Gökhan Töre
Premier League 2016/17,West Ham United FC,Michail Antonio
Premier League 2016/17,West Ham United FC,Diafra Sakho
Premier League 2016/17,West Ham United FC,Jonathan Calleri
Premier League 2016/17,West Ham United FC,Andy Carroll
Premier League 2016/17,West Ham United FC,Ashley Fletcher
Premier League 2016/17,West Ham United FC,Edimilson Fernandes
