Team,League
Serie A 2016/17,Pescara Calcio
Serie A 2016/17,SSC Napoli
Serie A 2016/17,Atalanta BC
Serie A 2016/17,SS Lazio
Primeira Liga 2016/17,FC Rio Ave
Primeira Liga 2016/17,FC Porto
Primeira Liga 2016/17,Moreirense FC
Primeira Liga 2016/17,FC Paços de Ferreira
Primeira Liga 2016/17,Sporting CP
Primeira Liga 2016/17,Maritimo Funchal
Primeira Liga 2016/17,CD Tondela
Primeira Liga 2016/17,SL Benfica
Primeira Liga 2016/17,Boavista Porto FC
Primeira Liga 2016/17,FC Arouca
Primeira Liga 2016/17,Vitoria Setubal
Primeira Liga 2016/17,C.F. Os Belenenses
Primeira Liga 2016/17,Vitoria Guimaraes
Primeira Liga 2016/17,Sporting Braga
Primeira Liga 2016/17,GD Estoril Praia
Primeira Liga 2016/17,Feirense
Primeira Liga 2016/17,Nacional Funchal
Primeira Liga 2016/17,G.D. Chaves
